Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;82,60535471569902;249,61798599970993;8,29796998341475;2204,873315190243
2;1;94,28638830848905;153,40406681164808;6,60178223559425;1078,03776470361
3;1;102,63863832755558;303,3795965823623;4,968388270167157;1604,4929172704672
4;1;111,95785319732063;243,76677543054305;5,961472262171803;1546,9060824309047
5;1;130,2711946563583;63,436599634601265;6,66611829024556;450,1412562367135
6;1;148,82790317734663;600,1226454647779;11,177640940890443;7140,458127952068
7;1;187,25401731786468;237,14052712963024;8,993008882085885;2270,1089990407695
8;1;217,4516953358441;50,609062246754306;9,141683000704097;492,48199193055405
9;1;231,46430163701746;96,04548976555887;11,063796344248546;1131,141810283678
10;1;259,02263398803524;166,34960347736697;16,088610241289263;2848,8934566293037
11;1;309,40826758154236;90,75197500207408;9,252871463183384;893,8579794271078
12;1;325,0470955662464;149,3712742172429;8,996737726493196;1430,500628319775
13;1;340,91866767545974;78,85266386475354;12,668819615713298;1063,379856237821
14;1;377,9829701157889;42,68572447777079;24,011140614256263;1091,0165910476028
15;1;381,21781910591557;13,469815292716303;5,321374814077537;76,29944821901327
16;1;399,51985743312537;21,7244252388309;10,247059037254457;236,96458292744
17;1;441,01277500175587;140,7212565276426;11,491728178447241;1721,396660846029
18;1;462,27031439327715;299,6126928280793;16,4918117191589;5259,742499034812
19;1;503,9591785813881;44,7263343917497;8,746138136578471;416,4046261644438
20;2;544,0055603229033;81,1539365793827;13,01838938120494;1124,612109262011
21;2;657,6225794071133;250,97589415145342;1,6506531918604652;440,9849349468656
22;2;762,8817456201543;271,9727074700062;14,511548310926527;4201,215737886254
23;2;797,2932014979737;194,5725438122199;15,47530838653418;3205,2121187780613
24;2;825,832268550336;79,7447568823729;7,294915048130601;619,2389764781592
25;2;856,319042424077;1160,109014797153;8,749936230156278;10805,36885021297
26;2;870,0874494441863;208,01491497788308;9,836407976698048;2178,045339235805
27;2;884,1263095526592;250,3386698423474;7,731702577361321;2060,3404387615997
28;2;916,5243789676919;253,14723765691832;9,126461179604314;2459,3000045235895
29;2;947,0725661687242;1264,7940051908067;6,263176993489033;8432,384286428307
30;2;968,6411869684766;1921,1555202652823;6,9543032041691415;14221,717640543508
