Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;82,63691625513151;361,5714894337836;5,640313227416605;2170,8674551943777
2;1;94,97572819885116;258,3507256228679;8,018589087909875;2205,1774936873358
3;1;108,41558911122932;349,38040735243646;4,993667790763894;1857,1804398209422
4;1;138,53743747580484;676,9317215277998;11,005759815516797;7930,504277720845
5;1;156,8485041409294;94,4551340776094;7,970238199861489;801,3694402673704
6;1;177,4305857600721;309,604353461341;7,60131380943949;2505,1378457091896
7;1;221,31551798111326;125,41625848659694;19,698368361058538;2629,7835353463615
8;1;222,4583809722138;18,60119379798934;53,76594464017045;1064,593977710005
9;1;237,1564241619571;83,17966268768733;11,471748923672767;1015,7403269247782
10;1;251,4416290637719;215,59782233617017;7,5222064242205695;1726,3367828641096
11;1;299,4728410536974;66,28682253416906;7,85936608172444;554,5626634530743
12;1;314,49493057858206;109,58431609569261;15,01437118295216;1751,4246462296046
13;1;332,861824825804;31,769961342000155;5,515292363998474;186,51816434939366
14;1;342,130901092583;78,9752237572276;9,04791608923608;760,6333030699014
15;2;377,9417729541814;79,79564895656902;25,48054049829807;2164,331370145047
16;2;441,0012838180357;393,9212619253721;19,358189839965092;8117,271536409911
17;2;479,33032433366765;72,29047197750485;10,87487378531777;836,8376138493197
18;2;518,5631371398408;42,87417466555101;16,301907073093666;743,9951305624345
19;2;538,9998261330729;82,83819171257582;14,85537709659514;1309,9363620170552
20;2;608,0565451600133;5,335930799918777;1,7017769661805795;9,666043313205325
21;2;629,8054973943658;23,97268413730416;21,221792591961222;541,5451066325396
22;2;641,1255401567686;8,40087652691896;110,2726194983256;986,1164417211755
23;2;702,7825384897383;21,595980358377066;8,470078921451403;194,7136006381416
24;2;733,4569448272205;96,76720497074108;11,54875592610482;1189,5954846233349
25;2;751,3154371611358;262,2763214071752;10,106907128478447;2821,7157731449815
26;2;772,4729013113748;19,64733860704201;6,772719568047174;141,64548328358703
27;2;787,0770669222827;139,60488564118756;11,10717838352562;1650,5940339755086
28;2;814,7893986582591;128,7659361530757;7,847637472028621;1075,6620058121675
29;3;845,167150405922;1358,4145955261404;7,618702854188795;11016,643142412006
30;3;856,0169577670504;100,2403456629587;9,66893597470017;1031,7088289474652
31;3;873,8702882331562;227,07435686895823;10,621159617830552;2567,295948632819
32;3;908,6550468662406;321,9851228029333;10,4493700832736;3581,474171967144
33;3;937,8103944898284;1632,275727215188;6,494169187502615;11283,738901422148
34;3;965,1514968887574;2193,5957320881494;5,460816967915452;12751,172467653098
35;3;976,1837914297181;572,7152690296323;9,21963863670255;5620,676216900525
