Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;80,71432612272186;483,13776133918884;4,584547640270574;2357,78054439462
2;1;92,30276291592163;161,98595617577004;5,2593495203939415;906,8705621036693
3;1;105,09662240356269;291,6628196774094;4,7192514824728455;1465,177018302724
4;1;127,48046490667967;499,41330817180716;10,207319347805903;5426,348977330014
5;1;141,17018755608748;28,839405421322287;15,154514369102012;465,2262733122795
6;1;170,33714079211424;207,54060982222;10,995499697143448;2429,1479480560924
7;1;202,63272209464256;93,97659636597966;11,751999237662192;1175,6211033043242
8;1;221,04467127664194;184,91458236809765;19,011841981003;3742,2367896551523
9;1;246,6216096197445;251,3216318781983;8,332873849495689;2229,2592901497546
10;1;290,4241783757959;26,499321075539832;7,279428187286941;205,3373345924549
11;1;308,75137987243875;153,78644950178636;14,810587236538217;2424,5227076199394
12;1;331,3064592968629;53,03981586372695;7,011599875549523;395,8722316610768
13;1;339,4252999409337;98,00326055421607;6,625367441819678;691,1724215815865
14;2;373,15461181842966;102,277051172023;10,572548540190057;1151,0489495165043
15;2;429,1751180928508;193,17020320070327;24,174509047733203;4970,884892619485
16;2;473,6170057345567;154,7312493435298;1,6777384201373;276,336459618763
17;2;530,3086727492794;72,98502910317245;12,592778078781985;978,3432263483605
18;2;721,2139930942449;82,25575151694804;9,885955314714915;865,6071292981795
19;2;745,1001727617132;228,39941823753483;10,250843557249468;2492,2436952477997
20;2;779,6234199743965;118,12611283411866;11,318569788417628;1423,2243743335086
21;2;807,6377825936582;92,86403145500314;8,147523606984585;805,3952576374552
22;2;836,7326354417543;841,3162049223707;8,106829699817863;7260,16032126032
23;2;859,2857757428287;212,68082701374453;6,459808746047883;1462,4597007419948
24;2;862,8970000000002;116,28333957959224;25,46087471163939;3151,568294883014
25;2;901,2569317293148;227,5562931044327;10,048672890108682;2434,0722580985134
26;2;930,4402643939761;1637,3903171558743;6,3343522601205855;11040,540524047801
27;2;962,1505432735343;1221,2197632575346;8,984620107623169;11679,639811444009
