Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;82,25669101123935;278,9206993043576;8,158373136105906;2422,2569853605046
2;1;93,2605207572;147,4064691678876;12,109510623813394;1900,1113110052179
3;1;102,04482422064123;163,8205026438214;4,53525649407662;790,8716630421593
4;1;112,0499052758862;207,00390405310725;5,71988554138952;1260,3808084663085
5;1;130,07622237530447;85,6730561852944;8,246980743725473;752,0992353945974
6;1;145,39506138728976;551,3706956037543;9,651858137286792;5664,8774289023195
7;1;158,44104046296016;70,40397191989538;12,50386743290961;937,0816394675712
8;1;184,95141464965832;208,7506877365114;8,888399360562314;1975,0922343644877
9;1;216,0813601068505;73,20370648645516;15,860936300091938;1235,9411697038402
10;1;230,8708270309666;139,05880192183287;9,444000772394432;1397,9460275252472
11;1;251,78675761404736;72,2992311475115;30,670147735784095;2360,399173441021
12;1;255,87317196120037;108,75892237044762;6,130949098467102;709,7877721209113
13;1;266,7192244008663;26,65911411461739;24,452599458217414;693,9156059140918
14;1;307,616758432573;70,72818087025843;9,389543045040819;706,924205559291
15;1;323,1665663509496;141,60377048245905;10,428455781243462;1571,921045471195
16;1;340,6931019339959;56,68225726152958;12,450967546827846;751,2528715572016
17;1;376,647323005143;48,67917478517576;28,769676481107012;1490,7818363083634
18;2;435,8776613148423;82,68682278195635;9,788544724735782;861,569549247734
19;2;456,6269623246034;261,9585701951488;16,95543879320867;4728,000913882224
20;2;498,2160765650836;31,132834415917735;11,821844482028403;391,7777887543996
21;2;540,2155912000061;65,34746634075286;14,559299080655556;1012,7567076732994
22;2;568,0840883040504;25,46451395338822;21,315118502671417;577,775403634228
23;2;584,6070000000001;6,3179042551487266;3,1831796681669786;21,407704398961915
24;2;625,3361697257801;12,127528184630547;10,354342288417987;133,66900559407844
25;2;632,1569539974657;7,879961750605445;1,6939639670588238;14,209021929231731
26;2;638,0273892297481;7,492911235433967;1,6939639670588238;13,511098584950343
27;2;651,4870362721595;10,669612667735816;30,220096646825414;343,22618234202156
28;2;652,1326605577215;1,3971539911070987;188,3839998170874;280,17165557777383
29;2;684,9621355470839;5,4128803029353385;3,714644634545644;21,403342606374107
30;2;703,4479999999999;7,048827046797681;116,19136241765698;871,8195544924135
31;2;712,6662478278943;1,0000000042233306e-06;1,6939639670588238;1,8031841319723918e-06
32;2;714,9877484487087;6,795359233821408;3,535824727869932;25,576378847148256
33;2;760,4121165501813;259,4476973308362;14,621291162727138;4038,047777842524
34;2;794,8371735285773;125,3157237983927;15,668518380322153;2090,1112617329277
35;2;823,8573455608638;70,73255180783137;7,3175773924253535;550,963156030873
36;3;853,3643216512735;989,8482198541467;9,036494258805865;9521,480677941321
37;3;866,6946838781718;123,39793284422446;9,379136925820806;1231,9885390219404
38;3;882,418087863145;233,43710373474397;9,309213550962246;2313,2298420744214
39;3;915,0755010521588;241,98548535533772;9,336182055566686;2404,8862321372
40;3;944,5135548048797;1192,0130377930182;6,746077827094718;8559,89149890149
41;3;968,1053402293916;1740,987498902284;8,334599305204716;15446,009059392978
42;3;984,119520330754;114,36486993364738;11,75058499016342;1430,500570880304
