Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;129,1251492422322;2735,8954776127916;37,28303056604154;108579,19450008469
2;1;175,37556259213383;1051,8962119090725;15,981240881335594;17894,488780332005
3;1;223,1382057080848;1026,4982245465803;35,46427000766043;38751,19809390184
4;1;253,50499659753694;634,0983017328084;13,127133261035716;8860,584897569684
5;1;318,23916302322385;800,3222464879863;20,621762557814737;17568,17213917443
6;1;343,99634965417016;509,13683445270647;19,567818121012674;10605,052628594502
7;1;377,92798443499174;521,1607583888838;17,96691523708245;9967,382698605443
8;1;433,0938299148308;1502,9776430457812;24,577937289554196;39321,84249578709
9;1;489,767915239427;200,8873892781698;50,45063331419188;10788,35438633113
10;1;534,9384231292296;264,102041940695;14,017748595213597;3940,813958834522
11;2;698,0939189604231;160,89989281382762;19,99033910549387;3423,827084586309
12;2;724,2208208540148;815,9291304534453;15,370806035202541;13350,114419947706
13;2;749,0038757796534;1574,8435329316433;17,19841387680864;28831,133319693246
14;2;781,1843965572524;525,2767957424794;14,299329476648001;7995,392642705369
15;2;811,5915710241634;300,89546099667604;8,069003983446954;2584,469869302417
16;2;841,2042863119084;3825,081306312679;16,364778922334665;66632,59400630298
17;2;903,8720115491042;1017,9637349640458;11,315806684335671;12261,786021137577
18;2;933,004899849337;6987,84315656296;12,045681706485087;89600,50117824279
19;2;962,7818482818252;7846,470091970125;12,43338751002096;103848,37381591329
