Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;80,23826083744254;387,9674869083538;4,836245571804884;1997,282900093705
2;1;90,9084212776044;203,46502814646513;5,608763684988408;1214,7665428716327
3;1;103,79470202480957;410,28961687579067;4,6792009960165615;2043,6105420085187
4;1;124,77378258658328;1174,1340055654198;10,33074356727127;12911,751378150911
5;1;161,24320849735568;183,22564195824785;5,73384130399765;1118,3244700429636
6;1;168,7430223255543;281,50066923615793;10,139793923692432;3038,3966419438443
7;1;202,09276827034435;170,5154525553076;15,252699942243233;2768,511779951533
8;1;222,23516033476977;172,68170861922414;16,099365646543042;2959,3137249668002
9;1;245,3109736909333;226,58071100008897;9,664683493770353;2331,022568516625
10;1;307,70531243006593;135,41483584663095;17,12256969905985;2468,1474271353677
11;2;337,96643092340605;80,55100258548686;12,267396497094227;1051,8631960964117
12;2;371,4126514141375;152,03235839334698;11,907240564576819;1927,006002355879
13;2;425,6781008562015;431,8874785874594;22,06416671234277;10143,645202715788
14;2;484,7321893822455;48,017449034042706;16,86480118793282;862,0177666617143
15;2;499,85372905661836;53,52235628750818;14,856148530948358;846,4033323875691
16;2;527,6354334877269;45,94988838474185;10,066201233154391;492,3636425208883
17;2;602,9739974229699;21,158030823215817;16,175549959391684;364,30925799437443
18;2;618,3199999999999;8,841913387354246;151,6300386719532;1427,1427287877307
19;2;688,56639468514;24,305455851012304;9,757521407556265;252,4522179143808
20;2;718,7464411864385;101,83462566944702;9,718358180395304;1053,4751114334442
21;2;743,5122325684183;319,26848393269455;10,745338903974817;3651,8428021698855
22;2;777,8094975037226;151,13028254600263;11,30124998169323;1818,0837406104808
23;2;806,0421485005958;136,3850467435622;8,650988865988959;1255,9386253035495
24;2;835,2751353115161;1226,5204254284724;8,57910692752654;11200,896205177281
25;2;852,1068324510023;119,98221164914985;13,835034660912962;1766,9856463496947
26;2;869,2348106250225;158,83437683090503;11,431022407911037;1932,7046279089943
27;3;899,1197352751587;366,41063235165;9,682201985368597;3776,401077131189
28;3;928,6780104823966;1720,655694147006;6,3544412682667435;11638,774479518917
29;3;959,3395531650789;2192,150855688191;7,215610763276408;16837,57108062267
