Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;96,93273921044614;218,85988368058491;5,207573499950582;1213,2141848561107
2;1;109,62154900770282;156,03739575421633;6,372494745683325;1058,459113148052
3;1;126,5781019049122;33,00270222875711;5,386528319539254;189,23190239397982
4;1;142,81255662026408;291,316926346053;8,723142071725709;2705,045483896828
5;1;158,46364205789547;39,30276431126374;13,821279468345864;578,2388306355995
6;1;179,56497389627987;132,05633344604644;9,43155228446081;1325,8009276501903
7;1;209,50958009880364;29,734264488797304;5,768279749403812;182,57420651101066
8;1;226,49739288421114;389,0722840470175;8,777737957398879;3635,371625827011
9;1;241,1926499512162;177,18594276202214;22,393757381425424;4223,691011240423
10;1;253,76329864688603;55,08632686916129;6,300277430354385;369,43615510571243
11;1;276,61059026323215;88,03576812982779;7,118552724401827;667,0935951720148
12;1;302,39392471836805;75,2175043797272;7,859722584281775;629,3062493407815
13;1;316,8899164189142;395,60286229688387;10,96598494259831;4617,883554227607
14;1;331,0496295950867;45,62564059019819;17,52453467886592;851,1211393798401
15;1;343,2273422328285;52,853926864466814;6,778724856855677;381,3828616221638
16;1;350,7897531376666;71,28431067548554;8,57067433001002;650,3465704306635
17;2;373,65178184263715;21,46719013682458;5,89113418525696;134,62013598524555
18;2;384,8810231353916;0,5419401098855509;1,6997024774583966;0,9805282474845161
19;2;394,9256701693877;10,284675891967403;1,6997024774588343;18,607988307839612
20;2;397,71169573740644;29,588676655205735;22,150476675186834;697,6611275972715
21;2;411,1168302275463;19,71183094142954;8,636357000103814;181,2147145270053
22;2;453,52325165807525;79,58539710013191;19,798972574020873;1677,3046410786246
23;2;484,0003179138384;51,38164583373654;16,12392449757206;881,8905200804531
24;2;542,2864504517402;123,0802786958823;19,051073643484795;2495,995705797266
25;2;611,5623614818406;12,843948550132225;15,01402277137789;205,27286058006464
26;2;629,3601610623514;5,288459927361273;1,6997024774583975;9,568371578111709
27;2;633,436999996884;10,531195445513013;70,26178962651758;787,6491111925689
28;2;640,6386252545957;2,4197166947425517;1,6997024774584204;4,377975585911197
29;2;653,1233826791522;3,2503161101746123;5,306921459101063;18,36133133859485
30;2;705,5314736546;51,01933900493737;9,549635863443449;518,6298946429314
31;2;735,6588528681739;180,49550419564522;11,849451125947056;2276,672333566362
32;2;753,7304162043067;370,1724523703851;10,533960923503942;4150,799025963063
33;2;775,7514107951083;18,76116850304292;5,369041794616869;107,22414102965702
34;2;789,4182516136896;44,9806107488849;10,218442502565589;489,2670406689845
35;2;817,5017932115773;87,6962271371882;8,776539186287867;819,2946385610267
36;3;846,5264031824722;838,0425015569483;7,917019381342218;7062,584544811696
37;3;875,8495381380396;321,18571543306206;8,386699269220811;2867,3664498612684
38;3;911,0835080342657;110,67140548974572;8,862205801633017;1044,030445627184
39;3;940,153346278212;1369,6153090705664;6,473698654312743;9438,15245509999
40;3;968,2188504688187;1870,1334827498122;5,747670996403422;11441,959693428751
