Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;80,30335030854673;309,18327009689153;4,744203795187808;1561,4037923666797
2;1;91,15642031928938;225,44434464431492;5,4171968213289965;1300,0195019870607
3;1;103,86868737717593;400,27069129262816;4,635839859024214;1975,2320487197806
4;1;125,28077084454156;1162,5236261263917;10,306603597465811;12754,201320057678
5;1;167,184647194064;296,6891079259231;12,857891902411673;4060,7596035994343
6;1;201,3803528565493;223,19091400028128;15,43119183612495;3666,1639959656636
7;1;222,1941196522686;220,33045264647583;16,61091234970173;3895,8651890435904
8;1;245,4225346906705;195,462306263614;9,437267999314832;1963,564691388083
9;1;273,8813205980163;29,728640115878886;8,009693345896483;253,47016056368477
10;1;308,21154504276365;131,60894957615903;17,468640484437696;2447,261831201189
11;2;337,3993667848703;58,60456825158813;14,818985827369909;924,4551804823984
12;2;371,75203027312733;215,9449258061427;12,064909224162495;2773,3390660656905
13;2;426,27460110762746;432,1044284647665;22,135216381652285;10181,421005210846
14;2;484,84255132596064;40,70654054260096;13,748935514941829;595,7570322175031
15;2;500,43836890654734;55,9190442349408;16,716252135470018;995,026300144567
16;2;528,1536749997068;47,95855821937472;10,51735144699345;536,9185540713223
17;2;605,9257222178719;31,771144514219294;18,69045390494509;632,1041120371876
18;2;614,7139999999999;10,450449050025;187,87777104277066;2089,9998666915226
19;2;719,1671974462557;99,50922407606112;9,284245272657907;983,4354336454452
20;2;743,7256076043504;338,66155412637545;10,67359476386464;3847,800212886613
21;2;778,0856228344459;157,88332193169757;10,85308214737487;1824,001759003159
22;2;806,2830664605256;150,8542819032119;8,041179978921063;1291,2589108730508
23;2;835,5092579070518;1400,2220053991002;8,377540527112695;12486,747883347683
24;2;851,6162610081276;113,43102223288932;15,825131161535602;1910,7992897692877
25;2;865,9283584665773;105,06753695184065;4,827160683915894;539,8787256341595
26;2;872,1772639606893;108,89978185365716;7,025084567774364;814,3563242946434
27;3;899,4587397958134;353,66591606632403;10,201101981770467;3840,397725322343
28;3;928,9487648091545;1876,507706173807;6,183175310090316;12350,877646344663
29;3;959,5025742226567;2529,2233720899235;6,571755015655296;17693,121453290292
30;3;968,6704265184276;514,1790990177644;7,074678863727266;3872,1935478481105
