Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;81,34303254285581;317,2818252621161;4,706769212445715;1589,6591213433078
2;1;93,1839336968848;208,84298939154473;5,493217684572407;1221,1882519963801
3;1;105,89964313926137;329,1268414618568;4,52287168416731;1584,5774668142376
4;1;129,62081185708277;770,9504642483646;10,890677353296685;8937,525073327093
5;1;170,46351120246084;264,61931112977186;9,84583496670425;2773,383922147883
6;1;203,89155814469402;138,70498508011678;12,418512565323393;1833,5702679250867
7;1;214,96041045401364;38,48975273865565;4,090166595216719;167,5799381015598
8;1;223,788115610672;163,2656894898457;19,5469307348365;3397,108420354113
9;1;247,4076520843266;197,7253400233476;7,5615030879580765;1591,499006872869
10;1;291,4674323061743;29,345403686962143;6,838038713669432;213,60309961399736
11;1;310,5317810027736;128,40470271905326;15,140413914594236;2069,448318490876
12;1;338,649699265301;51,02202397561156;10,869327870675702;590,3319365360724
13;1;374,1406509570775;143,1997716840872;11,370344400490225;1733,2126574180145
14;2;429,6155831719659;379,7341032519684;18,857663845699577;7622,60471109912
15;2;491,2712500894233;21,985673536484143;16,215933008353268;379,50510600878386
16;2;509,698523725718;55,03960604382006;16,705781376976027;978,7640681092818
17;2;531,2377406906785;60,52627834582385;12,271080690972964;790,6107035669552
18;2;616,6771008740619;32,613516020179325;23,759105947455808;824,8284329440366
19;2;722,9413550839156;89,25035022621749;10,283400646315602;976,9730696007151
20;2;746,1768396208854;274,57791174857545;10,495525068422207;3067,6490626271557
21;2;780,71593096397;133,20435839832604;10,765863813385344;1526,5225488625401
22;2;808,7139136020415;121,87366573633845;7,855470171055982;1019,1027300146211
23;2;837,968394006145;1121,7963150165679;7,532462045895932;8994,70383666834
24;2;845,5409614485321;86,94241736555722;26,59074746464947;2460,923785007296
25;2;861,1269251050957;77,53339921150067;4,414827106269563;364,3664925919245
26;2;868,3745656321687;117,18932211946633;7,3800196571833885;920,6222517509053
27;2;875,4388659128631;109,74198936669708;6,433874215127703;751,5905340774939
28;3;902,114173899039;268,64970806688837;9,756099814537741;2789,96345714914
29;3;931,7654881295124;1532,8321746562162;6,270079300157052;10230,657564343686
30;3;948,5000704146094;60,225635265189894;2,565263323073777;164,4558203933189
31;3;961,5351171494109;1474,1155597484128;5,252694414842211;8242,321925446397
32;3;965,9755324301746;504,2438988686495;14,494384607141319;7779,941659161487
