Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;82,86921245956525;327,7447049111645;6,9632854135965285;2429,3259397894217
2;1;95,44448482937077;261,1975341856747;8,745432889995392;2431,5672827007807
3;1;109,10776194299059;315,22724773939166;5,201811179186021;1745,4774434719443
4;1;127,6529671709689;132,8847839403126;6,508566639114273;920,6541548933204
5;1;140,91444235408767;672,4252146775183;9,687235388723018;6933,934742584867
6;1;158,26344553855847;96,34144377875737;8,638086080480509;885,8630452789633
7;1;179,33896061347656;282,66293381141634;7,536107151860752;2267,523695640122
8;1;221,60488558147117;53,72567396358724;10,713437837682081;612,6982407221751
9;1;229,7319012203028;134,0296113436794;36,9566326947618;5272,651398185557
10;1;252,4243210726264;178,92662801812858;6,037219843779121;1149,8677016742477
11;1;301,9422653274938;57,17108997559898;7,288382654234578;443,5509820003075
12;1;316,38008223516283;109,6558203971609;12,981791338289163;1515,3125486593146
13;1;343,04827888110094;57,560778969527014;11,335862720186018;694,5718012464744
14;1;369,8686720558675;60,37860849259716;13,285064191730797;853,8521260678164
15;1;376,6665657458366;27,163521373484592;6,584354586936478;190,38607801659654
16;1;387,06320866763355;49,80720946215577;17,306479604419803;917,5650273284158
17;2;444,7873250416956;373,0248345660008;20,355434094373486;8082,6546308012585
18;2;485,0433279163664;67,50850490575883;11,533961191948206;828,8441617910156
19;2;524,3835538994363;43,282906520049465;17,624073651279918;812,004849174703
20;2;543,5752940029486;68,19673890419894;12,048069768596344;874,6151351128128
21;2;559,6063630563905;12,450688636702646;20,71997695884697;274,6113908174493
22;2;606,2430365137251;2,524627113876068;54,55515736259094;146,6118122296336
23;2;636,148940647545;30,28444671628153;33,038435599114436;1065,0623328223965
24;2;643,7913079970998;3,5435046508656893;6,8815377264488635;25,95699475083304
25;2;679,3632918376212;9,034211476959788;18,376686020469073;176,7231136554806
26;2;691,5524443520874;8,969136758291322;3,9445459157655907;37,66028209883955
27;2;705,5022442586794;21,49346862799839;9,845146380362538;225,249892614387
28;2;736,5306550027909;109,55281313594237;12,616515639227194;1471,291992805726
29;2;753,6046884741539;279,8031019412757;10,341167648135771;3080,051730795567
30;2;789,1278057029206;137,8949372802986;12,339877414316753;1811,3195478340501
31;2;816,7907439367347;125,70465434434695;8,160542578863883;1091,9589200747278
32;3;846,9755202653304;1431,899242356214;7,623304541472585;11619,612255679767
33;3;857,4021900913455;117,27885808946515;10,179103745738338;1270,7648001705265
34;3;875,6989303523364;238,00355204968656;8,937994869050243;2264,4328509301436
35;3;910,3428756966523;323,19162286192284;11,098397782990574;3818,179036785216
36;3;939,5091837970051;1602,5215057246198;6,532228514250953;11142,974650888442
37;3;966,2342717259467;2381,3569705928226;5,521077603907101;13995,366006482931
38;3;978,905558364968;556,7362809901837;10,758792367391818;6376,009526253152
