Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;81,08403555639092;392,2677666603508;5,0946063329816225;2127,3020617723155
2;1;92,63480851925782;210,006852882766;5,8285440165633595;1302,9551126461404
3;1;105,47487174888336;391,46462792184326;4,514787333393405;1881,3332495434986
4;1;128,6448361261064;855,785416613918;10,663377645242994;9713,943621486143
5;1;169,48770001369323;287,2770464804164;10,509603863488161;3213,832074203797
6;1;204,16644833975096;149,22247162836126;13,350904098323522;2120,70769607949
7;1;214,53126296665627;29,77156096634083;4,547707720132889;144,12192621327122
8;1;223,88895328591687;162,1694621781565;19,022730819386243;3283,808675769218
9;1;246,9381647367641;230,78837930979057;7,759807815007715;1906,341971563243
10;1;290,35088792273996;24,913013687537312;7,1320898080099555;189,1380803570014
11;1;309,1391393273801;121,89780691981335;15,376430991619984;1995,2041651957027
12;1;337,95277992551127;64,2328615144422;13,136523364369758;898,2011763012445
13;1;373,575209466369;144,12277382274425;12,521027083532045;1920,916442756786
14;2;428,9309821115084;401,26568107489396;20,643914474780495;8817,794549809278
15;2;504,46918209839185;54,872424243137104;30,8778604100655;1803,5876556178607
16;2;531,3949076203985;51,12056113012566;9,683499612320178;526,9432659046046
17;2;721,8838171455836;107,12073005427578;10,529343942185253;1200,6342912913035
18;2;745,6626878986402;278,6795060647975;10,610673803999426;3147,6316437214364
19;2;780,2706439195099;155,3639444787785;10,970479465313947;1814,3110880329907
20;2;808,2534065654148;145,24648034692868;8,10913264891973;1253,7643850670993
21;2;837,2962876319096;1241,8575657701413;7,908299704298697;10454,200235711252
22;2;850,5230000000001;84,62191457225578;28,595014300098885;2575,7818113024873
23;2;852,0854799660357;20,02867862049313;1,6702929703107021;35,61072850224852
24;2;868,9459464630312;92,19259653174302;11,94338040461694;1172,085299122848
25;2;875,2290287556726;71,772638771514;5,614814386827638;428,9732633673324
26;2;901,3520736557492;323,03280162539124;9,631193541454042;3311,788862313649
27;2;931,0844376461006;1717,5425059693275;5,852093932407299;10699,283353847179
28;2;957,8949999999999;101,2540389799023;60,05896216271082;6473,305243036095
29;2;961,7046410160017;1943,5513574950749;7,184556408109021;14863,86961655912
